chromosome,coordinate,cn
1,850001,-0.06783351
1,900001,0.18735912
1,950001,0.19743384
1,1000001,0.164396885
1,1050001,0.09430207
1,1100001,0.029783721
1,1200001,0.105793289
1,1250001,0.110167697
1,1300001,0.243205197
1,1350001,-0.016602002
1,1450001,0.118083209
1,1550001,0.122706251
1,1750001,0.014673349
1,1800001,0.103723286
1,1850001,-0.103782683
1,1900001,0.015216684
1,1950001,-0.05789794
1,2000001,0.16338762
1,2050001,-0.052487263
1,2100001,-0.05031329
1,2150001,0.315006024
1,2200001,0.051468687
1,2250001,0.000969106
1,2300001,0.059318885
1,2350001,0.056799881
1,2400001,0.129063194
1,2450001,0.035935509
1,2500001,0.153264876
1,2550001,0.145825651
1,2600001,-0.139837168
1,2800001,0.071634817
1,2850001,0.002933987
1,2900001,0.012779684
1,2950001,-0.123877063
1,3000001,-0.056318537
1,3050001,0.022015648
1,3100001,0.035374031
1,3150001,0.046013601
1,3200001,0.005232487
1,3250001,-0.002465056
1,3300001,-0.006881398
1,3350001,-0.036626807
1,3400001,0.126695629
1,3450001,-0.044788313
1,3500001,0.121556017
1,3550001,-0.041142939
1,3600001,0.028958132
1,3650001,-0.031829943
1,3700001,0.086567923
1,3750001,0.073712754
1,3800001,-0.085190181
1,3850001,0.154313164
1,3900001,-0.244009641
1,3950001,-0.032281496
1,4000001,-0.073962925
1,4050001,-0.013753175
1,4100001,-0.048416363
1,4150001,-0.05576968
1,4200001,-0.09092738
1,4250001,0.006706032
1,4300001,-0.145707557
1,4350001,-0.166762872
1,4400001,-0.105596807
1,4450001,-0.082792245
1,4500001,-0.031024459
1,4550001,-0.118890088
1,4600001,-0.061144765
1,4650001,0.094382876
1,4700001,0.079654172
1,4750001,0.014041701
1,4800001,-0.172597699
1,4850001,0.021873682
1,4900001,-0.108336607
1,4950001,-0.145265932
1,5000001,-0.081106011
1,5050001,-0.300146143
1,5100001,-0.214233023
1,5150001,-0.010610757
1,5200001,0.007705571
1,5250001,-0.116140365
1,5300001,-0.048514194
1,5350001,-0.202780011
1,5400001,-0.064514547
1,5450001,-0.014391068
1,5500001,0.044595211
1,5550001,-0.143478413
1,5600001,-0.004127773
1,5650001,-0.164172468
1,5700001,-0.188199639
1,5750001,0.040823358
1,5800001,-0.09104273
1,5900001,-0.001308608
1,5950001,-0.18471945
1,6000001,0.051967847
1,6050001,-0.167022658
1,6100001,0.156202004
1,6150001,-0.035357076
1,6200001,-0.061053402
1,6250001,0.040937411
1,6300001,-0.024068672
1,6350001,0.07259406
1,6400001,0.228613656
1,6450001,0.118251097
1,6500001,0.062463362
1,6550001,0.204055143
1,6600001,0.209022733
1,6650001,-0.001604953
1,6700001,-0.028727869
1,6750001,0.096958882
1,6800001,-0.030773087
1,6850001,0.137684107
1,6900001,0.011292554
1,6950001,-0.031877004
1,7000001,-0.133731125
1,7050001,0.14853862
