coordinate,copynumber
250000,-1.271815164
300000,-1.000495071
350000,-1.104692012
400000,-0.805197061
450000,-0.841429454
500000,-0.90743618
550000,-0.631223417
600000,-0.855883726
650000,-0.704044663
700000,-1.043557809
750000,-0.71438867
800000,-0.967659215
850000,-1.074654652
900000,-0.899672439
950000,-0.678110713
1000000,-0.838397427
1050000,-0.760614077
1100000,-1.060373773
1150000,-0.906833351
1200000,-0.673760787
1250000,-0.696382846
1300000,-0.694621967
1350000,-0.955380167
1400000,-0.725189713
1450000,-0.657638491
1500000,-0.865722949
1550000,-0.65564735
1600000,-0.851203645
1650000,-0.781432492
1700000,-0.7308316
1750000,-1.181615772
1800000,-0.662758417
1850000,-0.966759688
1900000,-0.727180406
2100000,-0.819281765
2150000,-1.120437863
2200000,-0.929665443
2300000,-0.920541167
2350000,-0.900714352
2400000,-0.875327693
2450000,-0.900950236
2500000,-0.733332621
2550000,-0.761619684
2600000,-0.872870464
2650000,-0.75031425
2700000,-0.969526798
2750000,-0.922286587
2800000,-1.111072254
2850000,-0.87238076
2900000,-1.105361222
2950000,-0.847377762
3000000,-0.741633967
3050000,-0.827784021
3100000,-0.931721678
3150000,-0.863586617
3200000,-0.829828487
3400000,-0.779297139
3650000,-0.708065855
3700000,-0.826611678
3750000,-0.969190444
3800000,-1.119120937
3850000,-0.968872285
3900000,-1.005068818
3950000,-0.831194714
4000000,-0.86080501
4100000,-0.874289269
4150000,-1.0344917
4200000,-0.921679193
4250000,-1.06900152
4400000,-1.200966236
4450000,-1.173700244
4500000,-0.772868901
4550000,-0.813147653
4600000,-0.957717949
4650000,-0.711895785
4700000,-0.810852229
4750000,-0.827763518
4800000,-1.158532698
4850000,-1.045531461
4900000,-0.714309708
4950000,-1.066340824
5000000,-1.239068283
5050000,-0.922873331
5100000,-0.855086757
5150000,-0.73813364
5200000,-0.902290914
5250000,-0.925964798
5300000,-1.064186958
5350000,-1.022555029
5400000,-1.106648637
5450000,-1.00253299
5500000,-1.126034764
5550000,-1.066997349
5600000,-0.965786081
5650000,-1.10992467
5700000,-0.861531115
5750000,-1.101638059
5800000,-1.223647641
5850000,-1.249629085
5900000,-0.927504102
5950000,-0.747252348
6000000,-0.962261207
6050000,-0.953771659
6100000,-0.776909265
6150000,-0.860417713
6200000,-0.916820863
6250000,-0.838830687
6300000,-1.054782805
6350000,-0.812658762
6400000,-0.770479109
6450000,-1.061961856
6500000,-1.094116149
6550000,-0.976332224
6600000,-0.83410345
6650000,-1.052708091
6700000,-0.872248606
6750000,-0.565531868
6800000,-1.04883141
6850000,-0.868710642
6900000,-0.717729829
6950000,-0.978093565
7000000,-0.952130713
7050000,-1.118435061
7100000,-1.074503034
7150000,-1.025295832
7200000,-0.86319147
7250000,-0.78628112
7300000,-0.955902561
7350000,-0.943035052
7400000,-0.758509512
7450000,-1.083649874
7500000,-0.951260513
7550000,-0.959037733
7600000,-1.130665881
7650000,-0.919217504
7700000,-0.947735115
7750000,-0.667159567
7800000,-0.992829038
7850000,-0.911906916
7900000,-0.952893417
7950000,-0.880193355
8000000,-0.851662597
8100000,-1.001860886
8150000,-0.808070196
8200000,-0.98781029
8250000,-0.909157485
8300000,-0.999633012
8350000,-1.029592137
8400000,-0.623037405
8450000,-0.740127402
8500000,-1.028105663
8550000,-1.115088964
8600000,-1.067287519
8650000,-0.882972092
8700000,-1.151575995
8750000,-1.196155976
8800000,-0.550094915
8850000,-1.333636322
8900000,-0.724621171
8950000,-0.954530129
9000000,-0.898646759
9050000,-0.726188448
9100000,-0.768924001
9150000,-0.886445801
9200000,-1.260961967
9250000,-1.050082008
9300000,-0.685835081
9350000,-0.80202354
9400000,-0.780426869
9450000,-0.863381355
9500000,-1.186385453
9550000,-1.016814918
9600000,-0.914189486
9650000,-1.031694236
9700000,-0.76888784
9750000,-1.004991165
9800000,-1.007372768
9850000,-0.93786893
9900000,-1.155948799
9950000,-1.081812018
10000000,-0.841325188
10050000,-0.938184472
10100000,-1.023656142
10150000,-0.967301403
10200000,-1.1273127
10250000,-0.864902971
10300000,-0.667986257
10350000,-0.878802186
10400000,-0.926494558
10450000,-0.971152145
10500000,-0.860386734
10600000,-0.209576753
10650000,-0.205862818
10700000,-0.094476001
10750000,-0.079063495
10900000,0.053456585
10950000,-0.12273401
11000000,0.067116316
11050000,-0.063163182
11100000,-0.27988915
11150000,-0.004207325
11200000,0.00490333
11250000,-0.037515028
11300000,-0.048640651
11350000,-0.336091355
11400000,0.052408561
11450000,-0.029498609
11500000,-0.239259682
11550000,-0.258251721
11600000,-0.118029671
11650000,0.180228872
11700000,0.073810968
11750000,0.134781299
11800000,-0.01687387
11850000,-0.174808536
11900000,-0.024418731
11950000,0.019217644
12000000,0.081604159
12050000,-0.133604698
12100000,-0.178647696
12150000,-0.12186114
12200000,-0.025763251
12250000,-0.05019284
12300000,-0.128749488
12350000,-0.056400576
12400000,0.117464137
12450000,0.62485107
12500000,0.500862724
12550000,0.643782051
12600000,0.61272219
12650000,0.550128419
12700000,0.550510727
12750000,0.525457157
12800000,0.435241744
12850000,0.341251094
12900000,0.662633929
12950000,0.525968488
13000000,0.496189293
13050000,0.59472761
13100000,0.606780449
13150000,0.506174233
13200000,0.691392966
13250000,0.559971056
13300000,0.580917794
13350000,0.509713815
13400000,0.581809276
13450000,0.586519345
13500000,0.532970042
13550000,0.661313057
13600000,0.687222216
13650000,0.630295714
13700000,0.595896902
13750000,0.585246489
13800000,0.574567999
13850000,0.727812711
13900000,0.526259142
13950000,0.554578866
14000000,0.487461643
14050000,0.516652486
14100000,0.576697182
14150000,0.362437904
14200000,0.577943829
14250000,0.584451326
14300000,0.505063968
14350000,0.501685893
14400000,0.299721446
14450000,0.4473809
14500000,0.489052022
14550000,0.613113888
14600000,0.688643921
14650000,0.581445746
14700000,0.520208113
14750000,0.462843936
14800000,0.499761532
14850000,0.709920841
14900000,0.526575245
14950000,0.536855206
15000000,0.516372701
15050000,0.383712995
15100000,0.576311309
15150000,0.575221453
15200000,0.570766961
15250000,0.534047026
15300000,0.580650324
15350000,0.788376489
15400000,0.714700429
15450000,0.641990509
15500000,0.425806762
15550000,0.518978466
15600000,0.344152847
15650000,0.426566989
15700000,0.569233541
15750000,0.628187776
15800000,0.462544219
15850000,0.482333843
15900000,0.593758884
15950000,0.639925431
16000000,0.423015079
16050000,0.440775688
16100000,0.501184509
16150000,0.430629227
16200000,0.49545944
16250000,0.355301858
16300000,-0.083519844
16350000,-0.006527672
16400000,0.067607414
16450000,-0.137629341
16500000,0.109988564
16600000,-0.193911846
16650000,-0.042527503
16700000,0.046662106
16750000,-0.037850218
16800000,-0.337087114
16850000,-0.208148736
16900000,-0.091762811
16950000,-0.224910684
17000000,-0.247793499
17050000,-0.04119395
17100000,-0.089275593
17150000,0.044689685
17200000,-0.200904288
17250000,-0.071617371
17300000,-0.18831805
17350000,0.101336679
17400000,-0.186888468
17450000,-0.058652452
17500000,-0.061416957
17550000,0.084341855
17600000,-0.057176591
17650000,-0.31650857
17700000,-0.188140485
17750000,-0.357060349
17800000,-0.124206531
17850000,-0.303367967
17900000,-0.028531802
17950000,-0.027844496
18000000,-0.050901292
18050000,0.042756149
18100000,0.106949574
18150000,-0.081467029
18200000,-0.018713219
18250000,-0.015986565
18300000,-0.048941026
18350000,-0.185975733
18400000,-0.166791691
18450000,-0.208520777
18500000,-0.030383634
18550000,-0.306805896
18600000,-0.236268161
18650000,-0.06913915
18700000,-0.156482202
18750000,-0.129604262
18800000,-0.234798453
18850000,-0.125920787
18900000,-0.10258309
18950000,-0.071333348
19000000,0.076259723
19050000,-0.089959842
19100000,-0.117497889
19150000,-0.122265456
19200000,-0.316492277
19250000,0.01218971
19300000,-0.208062409
19350000,-0.153791827
19400000,-0.012007655
19450000,0.071860757
19500000,-0.181507396
19550000,-0.353133144
19600000,0.029056781
19650000,0.05560073
19700000,-0.147193048
19750000,-0.060020832
19800000,-0.226312464
19850000,-0.180333614
